conv_parameters,occurrences,models
1 128 28 28 128 3 3 1 1 1 1 1 1 1 1 1 0 0,414,resnetblur50 resnet50s vit_base_resnet50d_224 resnetv2_34d seresnet50 legacy_seresnet18 legacy_seresnet50 resnet101 resnet152 seresnet152 hgnetv2_b5 resnetblur18 seresnet34 resnetaa101d resnet50d resnet101_clip legacy_seresnet34 resnetv2_50d_frn vit_small_resnet26d_224 selecsls60 selecsls60b resnet50 legacy_seresnet152 seresnet50t legacy_seresnet101 resnet101s resnetv2_50d_evos seresnet101 seresnetaa50d resnet152s resnetv2_50d_gn hrnet_w64 resnetv2_18d dla34 resnet26 vit_base_resnet26d_224 repvgg_b0 ecaresnet50d resnetv2_152 hgnet_tiny resnetaa50 skresnet18 tresnet_m tresnet_v2_l resnet200 dla102 resnet34 resnetv2_50t resnetaa50d resnet34d vit_small_resnet50d_s16_224 resnet26d resnetv2_101 resnetblur50d resnet18 resnetblur101d resnetv2_101d resnetv2_18 resnetv2_50d resnet101c resnetv2_34 seresnet18 resnetv2_50 repvgg_a1 resnetaa34d resnet50_clip_gap resnetv2_152d resnet50_clip resnet101_clip_gap resnet50t dla60 resnet18d skresnet34 resnet50c ecaresnet101d resnet50_gn dla169 resnet152c
1 1024 14 14 1024 1 1 0 0 0 0 1 1 1 1 1 0 0,408,resnext50_32x4d seresnext101d_32x8d legacy_seresnext50_32x4d seresnext26d_32x4d seresnext101_64x4d resnext101_32x8d seresnext101_32x4d wide_resnet50_2 ecaresnext50t_32x4d wide_resnet101_2 skresnext50_32x4d seresnext101_32x8d resnext101_64x4d ecaresnext26t_32x4d legacy_seresnext101_32x4d seresnext26t_32x4d legacy_senet154 resnext101_32x4d senet154 legacy_seresnext26_32x4d seresnext50_32x4d res2next50 resnext50d_32x4d
1 256 1 1 1024 1 1 0 0 0 0 1 1 1 1 1 0 1,386,resnest14d resnetrs350 coatnet_2_rw_224 coatnet_rmlp_2_rw_384 resnetrs270 resnest26d resnest269e regnetz_d8 regnetz_d32 coatnet_nano_cc_224 efficientvit_m4 resnest101e resnetrs50 regnetz_d8_evos coatnet_rmlp_2_rw_224 resnest200e resnetrs152 resnest50d resnetrs101 resnetrs420 resnetrs200
1 64 56 56 64 3 3 1 1 1 1 1 1 1 1 1 0 0,374,resnetblur50 resnet50s hrnet_w18_ssld vit_base_resnet50d_224 resnetv2_34d seresnet50 legacy_seresnet18 legacy_seresnet50 resnet101 resnet152 seresnet152 hgnetv2_b5 resnetblur18 seresnet34 resnetaa101d resnet50d resnet101_clip legacy_seresnet34 resnetv2_50d_frn vit_small_resnet26d_224 selecsls60 selecsls42 selecsls60b resnet50 legacy_seresnet152 legacy_seresnet101 seresnet50t resnet101s resnetv2_50d_evos seresnet101 seresnetaa50d resnet152s resnetv2_50d_gn hrnet_w64 resnetv2_18d dla34 resnet26 vit_base_resnet26d_224 repvgg_b0 ecaresnet50d resnetv2_152 selecsls42b resnetaa50 ecaresnetlight selecsls84 skresnet18 tresnet_m tresnet_v2_l hrnet_w32 ese_vovnet19b_slim resnet200 dla102 resnet34 resnetv2_50t resnetaa50d hrnet_w48 resnet34d vit_small_resnet50d_s16_224 resnet26d hrnet_w48_ssld hrnet_w18 resnetv2_101 resnetblur50d resnet18 resnetblur101d hrnet_w40 resnetv2_101d resnetv2_18 resnetv2_50d resnet101c resnetv2_34 seresnet18 resnetv2_50 repvgg_a1 resnetaa34d resnet50_clip_gap resnetv2_152d resnet50_clip resnet101_clip_gap resnet50t dla60 hrnet_w30 resnet18d skresnet34 resnet50c ecaresnet101d hrnet_w44 resnet50_gn dla169 hrnet_w18_small_v2 resnet152c
1 1024 14 14 512 1 1 0 0 0 0 1 1 1 1 1 0 0,372,resnetblur50 resnet50s resnest14d vit_base_resnet50d_224 seresnet50 dla102x2 ecaresnext50t_32x4d resnet101 wide_resnet101_2 resnet152 seresnet152 resnetaa101d resnet50d resnet101_clip resnetv2_50d_frn resnext101_32x4d vit_small_resnet26d_224 legacy_seresnext26_32x4d skresnet50 resnest50d resnet50 seresnext50_32x4d resnext50d_32x4d skresnet50d seresnet50t legacy_seresnext50_32x4d resnet101s resnetv2_50d_evos seresnet101 seresnetaa50d resnet152s dla60_res2next resnetv2_50d_gn resnet26 vit_base_resnet26d_224 legacy_seresnext101_32x4d seresnext26t_32x4d ecaresnet50d resnetv2_152 senet154 resnetaa50 ecaresnetlight resnext50_32x4d tresnet_m densenetblur121d tresnet_v2_l convformer_b36 resnet200 seresnext101_32x4d dla102 dla60_res2net resnetv2_50t resnetaa50d wide_resnet50_2 skresnext50_32x4d resnet26d resnetv2_101 resnetblur50d densenet121 dla102x ecaresnext26t_32x4d resnetblur101d levit_conv_512d resnetv2_101d resnetv2_50d resnet101c resnetv2_50 res2next50 levit_conv_512 seresnext26d_32x4d resnest26d resnet50_clip_gap resnetv2_152d resnet50_clip resnet101_clip_gap resnet50t dla60 levit_conv_384_s8 legacy_senet154 resnet50c ecaresnet101d resnet50_gn dla169 dla60x resnet152c
1 64 56 56 256 1 1 0 0 0 0 1 1 1 1 1 0 0,366,resnetblur50 resnet50s resnest14d convformer_s36 hrnet_w18_ssld seresnext101_64x4d vit_base_resnet50d_224 res2net50_48w_2s coatnet_rmlp_1_rw_224 coatnet_pico_rw_224 res2net101d seresnet50 legacy_seresnet50 ecaresnext50t_32x4d resnet101 wide_resnet101_2 resnet152 seresnet152 tiny_vit_11m_224 efficientvit_b3 resnetaa101d resnet50d resnet101_clip resnetv2_50d_frn resnext101_32x4d resnext101_32x32d vit_small_resnet26d_224 legacy_seresnext26_32x4d skresnet50 resnest50d caformer_s36 resnet50 seresnext50_32x4d legacy_seresnet152 resnext50d_32x4d maxvit_tiny_tf_224 legacy_seresnet101 seresnet50t skresnet50d seresnext101d_32x8d legacy_seresnext50_32x4d res2net101_26w_4s poolformerv2_s24 resnet101s resnetv2_50d_evos seresnet101 seresnetaa50d resnet152s resnetv2_50d_gn poolformerv2_s36 hrnet_w64 resnext101_64x4d resnet26 vit_base_resnet26d_224 legacy_seresnext101_32x4d seresnext26t_32x4d ecaresnet50d res2net50_26w_6s resnetv2_152 resnetaa50 poolformerv2_s12 res2net50d res2net50_26w_4s ecaresnetlight resnext50_32x4d tresnet_v2_l hrnet_w32 resnext101_32x8d resnet200 seresnext101_32x4d resnest50d_1s4x24d resnetv2_50t coatnet_nano_cc_224 resnetaa50d wide_resnet50_2 hrnet_w48 skresnext50_32x4d vit_small_resnet50d_s16_224 resnet26d hrnet_w48_ssld seresnext101_32x8d maxvit_t hrnet_w18 resnetv2_101 res2net50_26w_8s resnetblur50d ecaresnext26t_32x4d resnetblur101d hrnet_w40 resnetv2_101d resnext101_32x16d resnetv2_50d resnet101c maxvit_tiny_rw_224 coatnet_nano_rw_224 resnest50d_4s2x40d resnetv2_50 res2next50 seresnext26d_32x4d coatnet_0_rw_224 resnest26d resnet50_clip_gap convformer_s18 resnetv2_152d resnet50_clip resnet101_clip_gap res2net50_14w_8s resnet50t hrnet_w30 tiny_vit_5m_224 resnet50c coatnet_rmlp_nano_rw_224 ecaresnet101d hrnet_w44 resnet50_gn hrnet_w18_small_v2 resnet152c caformer_s18
1 1024 1 1 256 1 1 0 0 0 0 1 1 1 1 1 0 1,366,resnetrs350 coatnet_nano_cc_224 efficientvit_m4 regnetz_d8_evos coatnet_2_rw_224 coatnet_rmlp_2_rw_384 resnetrs101 coatnet_rmlp_2_rw_224 resnetrs420 resnetrs50 resnetrs152 resnetrs270 resnetrs200 regnetz_d8 regnetz_d32
1 128 1 1 512 1 1 0 0 0 0 1 1 1 1 1 0 1,355,resnest14d resnetrs350 coatnet_2_rw_224 coatnet_rmlp_2_rw_384 efficientvit_m3 regnety_040_sgn coatnet_pico_rw_224 regnetv_040 resnetrs270 nfnet_l0 resnest26d resnest269e regnetz_d8 repvit_m1_1 regnetz_d32 efficientvit_m0 coatnet_nano_cc_224 efficientvit_m4 lcnet_100 resnest101e resnetrs50 repvit_m3 regnetz_d8_evos regnety_040 coatnet_rmlp_2_rw_224 efficientvit_m1 repvit_m2 resnest200e resnetrs152 efficientvit_m2 cs3sedarknet_l coatnet_rmlp_nano_rw_224 fastvit_mci1 coatnet_nano_rw_224 resnest50d resnetrs101 fastvit_mci0 repvit_m1_5 resnetrs420 resnetrs200
1 128 28 28 512 1 1 0 0 0 0 1 1 1 1 1 0 0,334,resnetblur50 resnet50s resnest14d convformer_s36 tresnet_v2_l vit_base_resnet50d_224 coatnet_pico_rw_224 poolformerv2_s24 resnet200 seresnet50 resnest26d resnet101s seresnet50t skresnet50d resnetv2_50d_evos seresnet101 resnetv2_50t legacy_seresnet50 seresnetaa50d coatnet_nano_cc_224 resnet50_clip_gap resnet152s resnetaa50d resnetv2_50d_gn resnet101 poolformerv2_s36 vit_small_resnet50d_s16_224 convformer_s18 resnet26d maxvit_t resnetv2_152d legacy_seresnet101 resnet50_clip resnet152 resnetv2_101 resnet101_clip_gap seresnet152 resnetblur50d resnet50t resnet26 vit_base_resnet26d_224 efficientvit_b3 resnetblur101d resnetaa101d resnet50d resnet101_clip resnetv2_101d resnetv2_152 resnet50c ecaresnet50d resnetv2_50d_frn vit_small_resnet26d_224 coatnet_rmlp_nano_rw_224 ecaresnet101d resnetv2_50d resnet101c maxvit_tiny_rw_224 coatnet_nano_rw_224 resnest50d resnet50_gn resnetaa50 poolformerv2_s12 skresnet50 caformer_s36 ecaresnetlight resnet50 resnetv2_50 caformer_s18 legacy_seresnet152 resnet152c maxvit_tiny_tf_224
1 128 32 32 512 1 1 0 0 0 0 1 1 1 1 1 0 0,310,bat_resnext26ts resnet101d resnext26ts eca_resnext26ts maxvit_tiny_rw_256 resnetrs270 regnetz_d8 resnet32ts eca_botnext26ts_256 regnetz_d32 botnet50ts_256 resnet50_mlp resnest101e maxvit_tiny_pm_256 gcresnet33ts maxvit_rmlp_nano_rw_256 lambda_resnet50ts seresnext26ts resnet33ts gcresnet50t gcresnext26ts seresnet152d maxvit_rmlp_tiny_rw_256 resnet152d regnetz_d8_evos maxvit_nano_rw_256 lamhalobotnet50ts_256 lambda_resnet26rpt_256 halo2botnet50ts_256 ecaresnet50t resnet61q cspresnet50d eca_resnet33ts resnetrs152 sebotnet33ts_256 seresnet269d resnet200d botnet26t_256 resnet26t ecaresnet200d lambda_resnet26t sehalonet33ts cspresnet50 eca_halonext26ts gcresnext50ts resnet51q ecaresnet26t halonet26t seresnet33ts seresnet200d halonet50ts resnetrs200
