conv_parameters,occurrences
1 24 192 192 24 3 3 1 1 1 1 1 1 1 1 1 0 0,5
1 32 160 160 32 3 3 1 1 1 1 1 1 1 1 1 0 0,5
1 48 112 112 192 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 160 17 17 192 1 7 3 3 0 0 1 1 1 1 1 0 0,4
1 48 64 64 48 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 48 80 80 192 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 56 80 80 224 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 64 72 72 64 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 40 128 128 80 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 32 147 147 64 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 32 149 149 32 3 3 0 0 0 0 1 1 1 1 1 0 0,4
1 32 60 60 256 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 32 240 240 32 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 24 112 112 24 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 40 112 112 240 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 24 144 144 24 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 24 80 80 16 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 80 48 48 320 3 3 1 1 1 1 1 1 1 1 1 0 0,4
1 128 17 17 128 7 1 0 0 3 3 1 1 1 1 1 0 0,4
1 128 17 17 128 1 7 3 3 0 0 1 1 1 1 1 0 0,4
1 12 113 113 24 2 2 0 0 0 0 1 1 1 1 1 0 0,3
1 80 73 73 192 3 3 0 0 0 0 1 1 1 1 1 0 0,3
1 64 48 48 64 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 64 56 56 256 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 64 192 192 128 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 64 112 112 32 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 64 256 256 64 3 3 1 1 1 1 1 1 1 1 1 0 1,3
1 64 192 192 64 3 3 1 1 1 1 1 1 1 1 1 0 1,3
1 64 13 13 256 3 3 1 1 1 1 1 1 1 1 1 0 1,3
1 64 40 40 64 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 64 44 44 64 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 64 48 48 256 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 512 8 8 256 1 3 1 1 0 0 1 1 1 1 1 0 0,3
1 24 160 160 24 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 512 8 8 256 3 1 0 0 1 1 1 1 1 1 1 0 0,3
1 32 112 112 96 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 24 240 240 24 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 28 56 56 28 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 16 128 128 32 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 32 27 27 128 3 3 1 1 1 1 1 1 1 1 1 0 1,3
1 32 48 48 128 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 48 24 24 192 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 384 8 8 448 3 1 0 0 1 1 1 1 1 1 1 0 0,3
1 384 8 8 256 3 1 0 0 1 1 1 1 1 1 1 0 0,3
1 384 8 8 256 1 3 1 1 0 0 1 1 1 1 1 0 0,3
1 24 113 113 12 2 2 0 0 0 0 1 1 1 1 1 0 0,3
1 448 8 8 512 1 3 1 1 0 0 1 1 1 1 1 0 0,3
1 32 56 56 128 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 32 56 56 256 3 3 1 1 1 1 1 1 1 1 1 0 0,3
1 64 128 128 64 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 64 224 224 128 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 128 17 17 192 7 1 0 0 3 3 1 1 1 1 1 0 0,2
1 64 73 73 96 3 3 0 0 0 0 1 1 1 1 1 0 0,2
1 24 88 88 32 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 32 113 113 16 2 2 0 0 0 0 1 1 1 1 1 0 0,2
1 16 55 55 64 3 3 1 1 1 1 1 1 1 1 1 0 1,2
1 56 26 26 224 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 56 30 30 224 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 16 113 113 32 2 2 0 0 0 0 1 1 1 1 1 0 0,2
1 24 14 14 64 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 48 27 27 192 3 3 1 1 1 1 1 1 1 1 1 0 1,2
1 48 192 192 96 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 48 56 56 64 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 48 36 36 288 5 5 2 2 2 2 1 1 1 1 1 0 0,2
1 32 144 144 32 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 32 144 144 64 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 32 40 40 32 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 32 160 160 64 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 48 112 112 96 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 48 128 128 96 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 48 112 112 48 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 32 52 52 128 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 48 13 13 192 3 3 1 1 1 1 1 1 1 1 1 0 1,2
1 48 192 192 48 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 40 144 144 80 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 40 144 144 40 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 32 96 96 16 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 80 56 56 80 3 3 1 1 1 1 1 1 1 1 1 0 0,2
1 128 17 17 192 1 7 3 3 0 0 1 1 1 1 1 0 0,2
1 8 113 113 16 2 2 0 0 0 0 1 1 1 1 1 0 0,1
1 80 112 112 160 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 80 16 16 80 3 3 1 1 1 1 1 1 1 1 1 0 0,1
