conv_parameters,occurrences
1 64 56 56 64 3 3 1 1 1 1 1 1 1 1 1 0 0,374
1 128 7 7 32 3 3 1 1 1 1 1 1 1 1 1 0 0,176
1 320 14 14 320 2 2 0 0 0 0 2 2 1 1 1 0 1,145
1 256 1 1 16 3 3 1 1 1 1 1 1 1 1 1 0 1,1
