conv_parameters,occurrences,models
1 768 1 1 48 1 1 0 0 0 0 1 1 1 1 1 0 1,9,efficientnet_v2_l
1 160 1 1 3840 1 1 0 0 0 0 1 1 1 1 1 0 1,9,efficientnet_b7 efficientnet_v2_l
1 1344 38 38 224 1 1 0 0 0 0 1 1 1 1 1 0 0,9,efficientnet_b7
1 3840 1 1 160 1 1 0 0 0 0 1 1 1 1 1 0 1,9,efficientnet_b7 efficientnet_v2_l
1 1344 38 38 1344 5 5 2 2 2 2 1 1 1 1 1344 0 0,9,efficientnet_b7
1 960 38 38 160 1 1 0 0 0 0 1 1 1 1 1 0 0,9,efficientnet_b7
1 36 1 1 864 1 1 0 0 0 0 1 1 1 1 1 0 1,8,efficientnet_b6
1 256 200 200 128 1 1 0 0 0 0 1 1 1 1 1 0 0,8,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 192 7 7 1152 1 1 0 0 0 0 1 1 1 1 1 0 0,8,efficientnet_b0 mnasnet1_0
1 144 33 33 864 1 1 0 0 0 0 1 1 1 1 1 0 0,8,efficientnet_b6
1 200 33 33 1200 1 1 0 0 0 0 1 1 1 1 1 0 0,8,efficientnet_b6
1 864 1 1 36 1 1 0 0 0 0 1 1 1 1 1 0 1,8,efficientnet_b6
1 512 65 65 512 3 3 4 4 4 4 1 1 4 4 1 0 0,8,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 2048 65 65 512 1 1 0 0 0 0 1 1 1 1 1 0 0,8,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 24 56 56 72 1 1 0 0 0 0 1 1 1 1 1 0 0,8,mnasnet0_75 mobilenet_v3_large mnasnet1_0
1 1024 50 50 2048 1 1 0 0 0 0 2 2 1 1 1 0 0,8,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 512 50 50 512 3 3 1 1 1 1 2 2 1 1 1 0 0,8,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 32 1 1 8 1 1 0 0 0 0 1 1 1 1 1 0 1,8,efficientnet_b1 efficientnet_b7 efficientnet_b2 efficientnet_b6 efficientnet_b0
1 8 1 1 32 1 1 0 0 0 0 1 1 1 1 1 0 1,8,efficientnet_b1 efficientnet_b7 efficientnet_b2 efficientnet_b6 efficientnet_b0
1 64 200 200 64 1 1 0 0 0 0 1 1 1 1 1 0 0,8,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 3 224 224 64 3 3 1 1 1 1 1 1 1 1 1 0 1,8,vgg13 vgg13_bn vgg11_bn vgg19_bn vgg11 vgg16_bn vgg16 vgg19
1 64 112 112 128 3 3 1 1 1 1 1 1 1 1 1 0 1,8,vgg13 vgg13_bn vgg11_bn vgg19_bn vgg11 vgg16_bn vgg16 vgg19
1 256 28 28 512 3 3 1 1 1 1 1 1 1 1 1 0 1,8,vgg13 vgg13_bn vgg11_bn vgg19_bn vgg11 vgg16_bn vgg16 vgg19
1 128 56 56 256 3 3 1 1 1 1 1 1 1 1 1 0 1,8,vgg13 vgg13_bn vgg11_bn vgg19_bn vgg11 vgg16_bn vgg16 vgg19
1 1024 50 50 512 1 1 0 0 0 0 1 1 1 1 1 0 0,8,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 512 100 100 1024 1 1 0 0 0 0 2 2 1 1 1 0 0,8,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 256 200 200 512 1 1 0 0 0 0 2 2 1 1 1 0 0,8,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 128 200 200 128 3 3 1 1 1 1 2 2 1 1 1 0 0,8,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 1024 14 14 2048 1 1 0 0 0 0 2 2 1 1 1 0 0,8,resnext101_64x4d resnext50_32x4d wide_resnet50_2 resnext101_32x8d resnet152 resnet50 resnet101 wide_resnet101_2
1 512 28 28 1024 1 1 0 0 0 0 2 2 1 1 1 0 0,8,resnext101_64x4d resnext50_32x4d wide_resnet50_2 resnext101_32x8d resnet152 resnet50 resnet101 wide_resnet101_2
1 68 1 1 1632 1 1 0 0 0 0 1 1 1 1 1 0 1,8,efficientnet_b4
1 256 100 100 256 3 3 1 1 1 1 2 2 1 1 1 0 0,8,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 1632 1 1 68 1 1 0 0 0 0 1 1 1 1 1 0 1,8,efficientnet_b4
1 960 24 24 960 3 3 1 1 1 1 1 1 1 1 960 0 0,8,efficientnet_v2_s
1 768 1 1 32 1 1 0 0 0 0 1 1 1 1 1 0 1,8,efficientnet_v2_s efficientnet_b5
1 480 1 1 120 1 1 0 0 0 0 1 1 1 1 1 0 1,8,deeplabv3_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_fpn lraspp_mobilenet_v3_large mobilenet_v3_large ssdlite320_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_320_fpn
1 488 7 7 488 1 1 0 0 0 0 1 1 1 1 1 0 0,8,shufflenet_v2_x2_0
1 1200 1 1 50 1 1 0 0 0 0 1 1 1 1 1 0 1,8,efficientnet_b6
1 50 1 1 1200 1 1 0 0 0 0 1 1 1 1 1 0 1,8,efficientnet_b6
1 272 12 12 1632 1 1 0 0 0 0 1 1 1 1 1 0 0,8,efficientnet_b4
1 32 1 1 768 1 1 0 0 0 0 1 1 1 1 1 0 1,8,efficientnet_v2_s efficientnet_b5
1 256 130 130 64 1 1 0 0 0 0 1 1 1 1 1 0 0,8,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 3 800 800 64 7 7 3 3 3 3 2 2 1 1 1 0 0,8,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2 maskrcnn_resnet50_fpn_v2
1 128 28 28 128 1 1 0 0 0 0 1 1 1 1 1 0 0,8,regnet_x_800mf densenet121 densenet201 densenet169
1 232 7 7 232 1 1 0 0 0 0 1 1 1 1 1 0 0,8,shufflenet_v2_x1_0
1 96 7 7 96 1 1 0 0 0 0 1 1 1 1 1 0 0,8,shufflenet_v2_x0_5
1 256 13 13 256 3 3 1 1 1 1 1 1 1 1 1 0 0,8,retinanet_resnet50_fpn_v2
1 24 28 28 24 1 1 0 0 0 0 1 1 1 1 1 0 0,8,shufflenet_v2_x0_5
1 352 7 7 352 1 1 0 0 0 0 1 1 1 1 1 0 0,8,shufflenet_v2_x1_5
1 1824 15 15 1824 5 5 2 2 2 2 1 1 1 1 1824 0 0,8,efficientnet_b5
1 120 1 1 480 1 1 0 0 0 0 1 1 1 1 1 0 1,8,deeplabv3_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_fpn lraspp_mobilenet_v3_large mobilenet_v3_large ssdlite320_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_320_fpn
1 320 1 1 80 1 1 0 0 0 0 1 1 1 1 1 0 1,7,regnet_y_800mf
1 64 14 14 384 1 1 0 0 0 0 1 1 1 1 1 0 0,7,mnasnet0_75 mobilenet_v2
1 80 75 75 480 1 1 0 0 0 0 1 1 1 1 1 0 0,7,efficientnet_b7
1 48 150 150 288 1 1 0 0 0 0 1 1 1 1 1 0 0,7,efficientnet_b7
1 1200 33 33 200 1 1 0 0 0 0 1 1 1 1 1 0 0,7,efficientnet_b6
1 244 14 14 244 3 3 1 1 1 1 1 1 1 1 244 0 0,7,shufflenet_v2_x2_0
1 864 33 33 864 3 3 1 1 1 1 1 1 1 1 864 0 0,7,efficientnet_b6
1 176 14 14 176 3 3 1 1 1 1 1 1 1 1 176 0 0,7,shufflenet_v2_x1_5
1 864 33 33 144 1 1 0 0 0 0 1 1 1 1 1 0 0,7,efficientnet_b6
1 96 7 7 576 1 1 0 0 0 0 1 1 1 1 1 0 0,7,mnasnet0_5 mobilenet_v3_small
1 80 1 1 320 1 1 0 0 0 0 1 1 1 1 1 0 1,7,regnet_y_800mf
1 320 14 14 320 3 3 1 1 1 1 1 1 1 1 20 0 0,7,regnet_y_800mf
1 80 14 14 480 1 1 0 0 0 0 1 1 1 1 1 0 0,7,mobilenet_v3_large efficientnet_b0 mnasnet1_0
1 88 28 28 88 1 1 0 0 0 0 1 1 1 1 1 0 0,7,shufflenet_v2_x1_5
1 512 1 1 32 1 1 0 0 0 0 1 1 1 1 1 0 1,7,maxvit_t efficientnet_v2_s
1 32 1 1 512 1 1 0 0 0 0 1 1 1 1 1 0 1,7,maxvit_t efficientnet_v2_s
1 122 28 28 122 1 1 0 0 0 0 1 1 1 1 1 0 0,7,shufflenet_v2_x2_0
1 48 14 14 48 3 3 1 1 1 1 1 1 1 1 48 0 0,7,shufflenet_v2_x0_5
1 64 56 56 128 1 1 0 0 0 0 1 1 1 1 1 0 0,7,regnet_x_800mf resnext50_32x4d wide_resnet50_2 densenet201 densenet121 wide_resnet101_2 densenet169
1 116 14 14 116 3 3 1 1 1 1 1 1 1 1 116 0 0,7,shufflenet_v2_x1_0
1 168 28 28 168 1 1 0 0 0 0 1 1 1 1 1 0 0,7,regnet_x_1_6gf
1 176 29 29 1056 1 1 0 0 0 0 1 1 1 1 1 0 0,7,efficientnet_b5
1 1632 12 12 1632 5 5 2 2 2 2 1 1 1 1 1632 0 0,7,efficientnet_b4
1 128 29 29 768 1 1 0 0 0 0 1 1 1 1 1 0 0,7,efficientnet_b5
1 1152 7 7 192 1 1 0 0 0 0 1 1 1 1 1 0 0,7,densenet161 efficientnet_b0 mnasnet1_0
1 1632 12 12 272 1 1 0 0 0 0 1 1 1 1 1 0 0,7,efficientnet_b4
1 58 28 28 58 1 1 0 0 0 0 1 1 1 1 1 0 0,7,shufflenet_v2_x1_0
1 1200 33 33 1200 5 5 2 2 2 2 1 1 1 1 1200 0 0,7,efficientnet_b6
1 3840 15 15 3840 3 3 1 1 1 1 1 1 1 1 3840 0 0,6,efficientnet_v2_l
1 3072 15 15 3072 3 3 1 1 1 1 1 1 1 1 3072 0 0,6,efficientnet_v2_m efficientnet_b5
1 3072 1 1 128 1 1 0 0 0 0 1 1 1 1 1 0 1,6,efficientnet_v2_m efficientnet_b5
1 128 1 1 3072 1 1 0 0 0 0 1 1 1 1 1 0 1,6,efficientnet_v2_m efficientnet_b5
1 3072 15 15 512 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_v2_m efficientnet_b5
1 192 28 28 192 7 7 3 3 3 3 1 1 1 1 192 0 1,6,convnext_small convnext_tiny
1 40 132 132 240 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_b6
1 160 7 7 960 1 1 0 0 0 0 1 1 1 1 1 0 0,6,mobilenet_v2 mobilenet_v3_large
1 72 66 66 432 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_b6
1 64 120 120 256 3 3 1 1 1 1 1 1 1 1 1 0 0,6,efficientnet_v2_l
1 384 60 60 96 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_v2_l
1 480 75 75 80 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_b7
1 288 150 150 288 3 3 1 1 1 1 1 1 1 1 288 0 0,6,efficientnet_b7
1 288 150 150 48 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_b7
1 432 1 1 18 1 1 0 0 0 0 1 1 1 1 1 0 1,6,efficientnet_b6
1 192 56 56 48 3 3 1 1 1 1 1 1 1 1 1 0 0,6,densenet161
1 18 1 1 432 1 1 0 0 0 0 1 1 1 1 1 0 1,6,efficientnet_b6
1 480 75 75 480 5 5 2 2 2 2 1 1 1 1 480 0 0,6,efficientnet_b7
1 96 60 60 384 3 3 1 1 1 1 1 1 1 1 1 0 0,6,efficientnet_v2_l
1 640 30 30 640 3 3 1 1 1 1 1 1 1 1 640 0 0,6,efficientnet_v2_m
1 2048 25 25 256 1 1 0 0 0 0 1 1 1 1 1 0 1,6,keypointrcnn_resnet50_fpn retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2
1 1024 50 50 256 1 1 0 0 0 0 1 1 1 1 1 0 1,6,keypointrcnn_resnet50_fpn retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2
1 512 100 100 256 1 1 0 0 0 0 1 1 1 1 1 0 1,6,keypointrcnn_resnet50_fpn retinanet_resnet50_fpn maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn fcos_resnet50_fpn retinanet_resnet50_fpn_v2
1 640 30 30 160 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_v2_m
1 640 1 1 40 1 1 0 0 0 0 1 1 1 1 1 0 1,6,efficientnet_v2_m
1 40 1 1 640 1 1 0 0 0 0 1 1 1 1 1 0 1,6,efficientnet_v2_m
1 640 15 15 3840 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_v2_l
1 3840 15 15 640 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_v2_l
1 160 30 30 640 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_v2_m
1 256 120 120 64 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_v2_l
1 768 29 29 128 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_b5
1 768 29 29 768 3 3 1 1 1 1 1 1 1 1 768 0 0,6,efficientnet_b5
1 2048 7 7 1024 1 1 0 0 0 0 1 1 1 1 1 0 0,6,wide_resnet50_2 wide_resnet101_2 resnext50_32x4d
1 288 14 14 288 3 3 1 1 1 1 1 1 1 1 18 0 0,6,regnet_x_800mf
1 160 14 14 160 3 3 1 1 1 1 1 1 1 1 10 0 0,6,regnet_x_400mf
1 112 24 24 672 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_b4
1 72 56 56 72 1 1 0 0 0 0 1 1 1 1 1 0 0,6,regnet_y_3_2gf regnet_x_1_6gf
1 24 1 1 72 1 1 0 0 0 0 1 1 1 1 1 0 1,6,deeplabv3_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_fpn lraspp_mobilenet_v3_large mobilenet_v3_large ssdlite320_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_320_fpn
1 672 28 28 672 3 3 1 1 1 1 1 1 1 1 4 0 0,6,regnet_x_32gf
1 160 33 33 960 1 1 0 0 0 0 1 1 1 1 1 0 0,6,lraspp_mobilenet_v3_large deeplabv3_mobilenet_v3_large
1 72 1 1 24 1 1 0 0 0 0 1 1 1 1 1 0 1,6,deeplabv3_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_fpn lraspp_mobilenet_v3_large mobilenet_v3_large ssdlite320_mobilenet_v3_large fasterrcnn_mobilenet_v3_large_320_fpn
1 1056 29 29 1056 5 5 2 2 2 2 1 1 1 1 1056 0 0,6,efficientnet_b5
1 512 15 15 3072 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_v2_m efficientnet_b5
1 256 65 65 21 1 1 0 0 0 0 1 1 1 1 1 0 1,6,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 1056 29 29 176 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_b5
1 264 1 1 1056 1 1 0 0 0 0 1 1 1 1 1 0 1,6,regnet_y_128gf
1 232 10 10 1392 1 1 0 0 0 0 1 1 1 1 1 0 0,6,efficientnet_b3
1 58 1 1 1392 1 1 0 0 0 0 1 1 1 1 1 0 1,6,efficientnet_b3
1 448 1 1 112 1 1 0 0 0 0 1 1 1 1 1 0 1,6,regnet_y_8gf regnet_y_16gf
1 256 65 65 256 3 3 1 1 1 1 1 1 1 1 1 0 0,6,fcn_resnet101 deeplabv3_resnet101 deeplabv3_resnet50 fcn_resnet50
1 64 56 56 64 1 1 0 0 0 0 1 1 1 1 1 0 0,6,regnet_y_800mf regnet_x_800mf resnet152 resnet50 resnet101 googlenet
1 2048 7 7 512 1 1 0 0 0 0 1 1 1 1 1 0 0,6,resnet152 resnet50 resnet101
1 1392 1 1 58 1 1 0 0 0 0 1 1 1 1 1 0 1,6,efficientnet_b3
1 224 56 56 224 1 1 0 0 0 0 1 1 1 1 1 0 0,6,regnet_y_8gf regnet_y_16gf
1 1056 1 1 264 1 1 0 0 0 0 1 1 1 1 1 0 1,6,regnet_y_128gf
1 112 1 1 448 1 1 0 0 0 0 1 1 1 1 1 0 1,6,regnet_y_8gf regnet_y_16gf
1 1056 48 48 1056 3 3 1 1 1 1 1 1 1 1 4 0 0,6,regnet_y_128gf
1 256 56 56 64 1 1 0 0 0 0 1 1 1 1 1 0 0,6,resnet152 resnet50 resnet101
1 1152 7 7 1152 5 5 2 2 2 2 1 1 1 1 1152 0 0,6,efficientnet_b0 mnasnet1_0
1 128 112 112 128 3 3 1 1 1 1 1 1 1 1 1 0 1,6,vgg13 vgg13_bn vgg19_bn vgg16_bn vgg16 vgg19
1 64 224 224 64 3 3 1 1 1 1 1 1 1 1 1 0 1,6,vgg13 vgg13_bn vgg19_bn vgg16_bn vgg16 vgg19
1 96 56 56 96 7 7 3 3 3 3 1 1 1 1 96 0 1,6,convnext_small convnext_tiny
1 768 7 7 768 7 7 3 3 3 3 1 1 1 1 768 0 1,6,convnext_small convnext_tiny
1 256 28 28 256 3 3 1 1 1 1 1 1 1 1 1 0 0,6,wide_resnet50_2 wide_resnet101_2
1 128 56 56 128 3 3 1 1 1 1 1 1 1 1 1 0 0,6,wide_resnet50_2 wide_resnet101_2
1 240 132 132 40 1 1 0 0 0 0 1 1 1 1 1 0 0,5,efficientnet_b6
1 432 66 66 432 5 5 2 2 2 2 1 1 1 1 432 0 0,5,efficientnet_b6
1 256 200 200 3 1 1 0 0 0 0 1 1 1 1 1 0 1,5,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn maskrcnn_resnet50_fpn_v2
1 256 200 200 12 1 1 0 0 0 0 1 1 1 1 1 0 1,5,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn maskrcnn_resnet50_fpn_v2
1 440 7 7 440 3 3 1 1 1 1 1 1 1 1 55 0 0,5,regnet_y_400mf
1 440 1 1 110 1 1 0 0 0 0 1 1 1 1 1 0 1,5,regnet_y_400mf
1 144 28 28 144 1 1 0 0 0 0 1 1 1 1 1 0 0,5,regnet_y_800mf
1 208 1 1 52 1 1 0 0 0 0 1 1 1 1 1 0 1,5,regnet_y_400mf
1 16 1 1 384 1 1 0 0 0 0 1 1 1 1 1 0 1,5,efficientnet_b5
1 512 28 28 512 3 3 1 1 1 1 1 1 1 1 4 0 0,5,regnet_x_16gf
1 240 132 132 240 3 3 1 1 1 1 1 1 1 1 240 0 0,5,efficientnet_b6
1 96 14 14 576 1 1 0 0 0 0 1 1 1 1 1 0 0,5,mobilenet_v2 mnasnet1_0
1 24 56 56 24 3 3 1 1 1 1 2 2 1 1 24 0 0,5,shufflenet_v2_x2_0 shufflenet_v2_x1_0 shufflenet_v2_x1_5 shufflenet_v2_x0_5
1 384 14 14 64 1 1 0 0 0 0 1 1 1 1 1 0 0,5,mnasnet0_75 mobilenet_v2
1 384 14 14 384 3 3 1 1 1 1 1 1 1 1 384 0 0,5,mnasnet0_75 mobilenet_v2
1 72 56 56 72 3 3 1 1 1 1 1 1 1 1 72 0 0,5,mnasnet0_75 mobilenet_v3_large mnasnet1_0
1 72 56 56 24 1 1 0 0 0 0 1 1 1 1 1 0 0,5,mnasnet0_75 mobilenet_v3_large mnasnet1_0
1 512 14 14 128 1 1 0 0 0 0 1 1 1 1 1 0 0,5,googlenet densenet121 densenet201 densenet169
1 110 1 1 440 1 1 0 0 0 0 1 1 1 1 1 0 1,5,regnet_y_400mf
1 104 28 28 104 1 1 0 0 0 0 1 1 1 1 1 0 0,5,regnet_y_400mf
1 208 14 14 208 3 3 1 1 1 1 1 1 1 1 26 0 0,5,regnet_y_400mf
1 384 1 1 16 1 1 0 0 0 0 1 1 1 1 1 0 1,5,efficientnet_b5
1 512 14 14 512 3 3 1 1 1 1 1 1 1 1 32 0 0,5,resnext50_32x4d
1 192 28 28 192 3 3 1 1 1 1 1 1 1 1 4 0 0,5,regnet_x_3_2gf
1 40 114 114 240 1 1 0 0 0 0 1 1 1 1 1 0 0,5,efficientnet_b5
1 64 57 57 384 1 1 0 0 0 0 1 1 1 1 1 0 0,5,efficientnet_b5
1 576 7 7 576 5 5 2 2 2 2 1 1 1 1 576 0 0,5,mnasnet0_5 mobilenet_v3_small
1 672 24 24 672 3 3 1 1 1 1 1 1 1 1 672 0 0,5,efficientnet_b4
1 672 24 24 112 1 1 0 0 0 0 1 1 1 1 1 0 0,5,efficientnet_b4
1 960 24 24 960 5 5 2 2 2 2 1 1 1 1 960 0 0,5,efficientnet_b4
1 34 1 1 816 1 1 0 0 0 0 1 1 1 1 1 0 1,5,efficientnet_b3
1 576 7 7 96 1 1 0 0 0 0 1 1 1 1 1 0 0,5,mnasnet0_5 mobilenet_v3_small
1 3 224 224 24 3 3 1 1 1 1 2 2 1 1 1 0 0,5,shufflenet_v2_x0_5 shufflenet_v2_x1_0 shufflenet_v2_x2_0 mnasnet0_75 shufflenet_v2_x1_5
1 192 8 8 1152 1 1 0 0 0 0 1 1 1 1 1 0 0,5,efficientnet_b1
1 40 14 14 240 1 1 0 0 0 0 1 1 1 1 1 0 0,5,mnasnet0_5 mobilenet_v3_small
1 1024 1 1 64 1 1 0 0 0 0 1 1 1 1 1 0 1,5,maxvit_t
1 64 1 1 1024 1 1 0 0 0 0 1 1 1 1 1 0 1,5,maxvit_t
1 1392 10 10 1392 5 5 2 2 2 2 1 1 1 1 1392 0 0,5,efficientnet_b3
1 1392 10 10 232 1 1 0 0 0 0 1 1 1 1 1 0 0,5,efficientnet_b3
1 208 9 9 1248 1 1 0 0 0 0 1 1 1 1 1 0 0,5,efficientnet_b2
1 1248 1 1 52 1 1 0 0 0 0 1 1 1 1 1 0 1,5,efficientnet_b2
1 96 19 19 576 1 1 0 0 0 0 1 1 1 1 1 0 0,5,efficientnet_b3
1 576 1 1 24 1 1 0 0 0 0 1 1 1 1 1 0 1,5,efficientnet_b3
1 24 1 1 576 1 1 0 0 0 0 1 1 1 1 1 0 1,5,efficientnet_b3
1 136 19 19 816 1 1 0 0 0 0 1 1 1 1 1 0 0,5,efficientnet_b3
1 816 1 1 34 1 1 0 0 0 0 1 1 1 1 1 0 1,5,efficientnet_b3
1 1024 14 14 256 1 1 0 0 0 0 1 1 1 1 1 0 1,5,maxvit_t
1 128 24 24 512 1 1 0 0 0 0 1 1 1 1 1 0 0,5,efficientnet_v2_s
1 512 24 24 512 3 3 1 1 1 1 1 1 1 1 512 0 0,5,efficientnet_v2_s
1 512 24 24 128 1 1 0 0 0 0 1 1 1 1 1 0 0,5,efficientnet_v2_s
1 256 28 28 128 1 1 0 0 0 0 1 1 1 1 1 0 0,5,googlenet densenet121 densenet201 densenet169
1 120 1 1 30 1 1 0 0 0 0 1 1 1 1 1 0 1,5,regnet_y_1_6gf
1 120 28 28 120 3 3 1 1 1 1 1 1 1 1 5 0 0,5,regnet_y_1_6gf
1 52 1 1 1248 1 1 0 0 0 0 1 1 1 1 1 0 1,5,efficientnet_b2
1 30 1 1 120 1 1 0 0 0 0 1 1 1 1 1 0 1,5,regnet_y_1_6gf
1 256 100 100 12 1 1 0 0 0 0 1 1 1 1 1 0 1,5,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn maskrcnn_resnet50_fpn_v2
1 256 13 13 3 1 1 0 0 0 0 1 1 1 1 1 0 1,5,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn maskrcnn_resnet50_fpn_v2
1 256 13 13 12 1 1 0 0 0 0 1 1 1 1 1 0 1,5,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn maskrcnn_resnet50_fpn_v2
1 432 66 66 72 1 1 0 0 0 0 1 1 1 1 1 0 0,5,efficientnet_b6
1 52 1 1 208 1 1 0 0 0 0 1 1 1 1 1 0 1,5,regnet_y_400mf
1 112 14 14 672 1 1 0 0 0 0 1 1 1 1 1 0 0,5,mobilenet_v3_large efficientnet_b0
1 256 100 100 3 1 1 0 0 0 0 1 1 1 1 1 0 1,5,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn maskrcnn_resnet50_fpn_v2
1 256 50 50 3 1 1 0 0 0 0 1 1 1 1 1 0 1,5,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn maskrcnn_resnet50_fpn_v2
1 256 50 50 12 1 1 0 0 0 0 1 1 1 1 1 0 1,5,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn maskrcnn_resnet50_fpn_v2
1 256 25 25 3 1 1 0 0 0 0 1 1 1 1 1 0 1,5,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn maskrcnn_resnet50_fpn_v2
1 256 25 25 12 1 1 0 0 0 0 1 1 1 1 1 0 1,5,keypointrcnn_resnet50_fpn fasterrcnn_resnet50_fpn_v2 maskrcnn_resnet50_fpn fasterrcnn_resnet50_fpn maskrcnn_resnet50_fpn_v2
1 120 65 65 40 1 1 0 0 0 0 1 1 1 1 1 0 0,4,lraspp_mobilenet_v3_large deeplabv3_mobilenet_v3_large
