ID,Image batch,Image channel,Image height,Image width,Output depth,Output height,Output width,Filter height,Filter width,Padding top,Padding bottom,Padding left,Padding right,Stride height,Stride width,Dilation height,Dilation width,Grouped
769,1,64,112,112,64,112,112,3,3,1,1,1,1,1,1,1,1,1
770,1,3,384,384,64,192,192,3,3,0,0,0,0,2,2,1,1,1
771,1,64,192,192,64,192,192,3,3,1,1,1,1,1,1,1,1,1
772,1,3,512,512,64,256,256,3,3,0,0,0,0,2,2,1,1,1
773,1,64,256,256,64,256,256,3,3,1,1,1,1,1,1,1,1,1
774,1,3,224,224,128,112,112,3,3,0,0,0,0,2,2,1,1,1
775,1,3,384,384,128,192,192,3,3,0,0,0,0,2,2,1,1,1
776,1,128,192,192,128,192,192,3,3,1,1,1,1,1,1,1,1,1
777,1,3,512,512,128,256,256,3,3,0,0,0,0,2,2,1,1,1
778,1,128,256,256,128,256,256,3,3,1,1,1,1,1,1,1,1,1
779,1,32,192,192,64,192,192,3,3,1,1,1,1,1,1,1,1,1
780,1,3,224,224,192,112,112,3,3,0,0,0,0,2,2,1,1,1
781,1,192,112,112,192,112,112,3,3,1,1,1,1,1,1,1,1,1
782,1,3,384,384,192,192,192,3,3,0,0,0,0,2,2,1,1,1
783,1,192,192,192,192,192,192,3,3,1,1,1,1,1,1,1,1,1
784,1,3,512,512,192,256,256,3,3,0,0,0,0,2,2,1,1,1
785,1,192,256,256,192,256,256,3,3,1,1,1,1,1,1,1,1,1
786,1,48,128,128,96,128,128,3,3,1,1,1,1,1,1,1,1,1
787,1,3,224,224,80,112,112,3,3,1,1,1,1,2,2,1,1,1
788,1,80,112,112,160,112,112,3,3,1,1,1,1,1,1,1,1,1
789,1,3,224,224,768,7,7,32,32,0,0,0,0,32,32,1,1,1
790,1,3,224,224,1024,7,7,32,32,0,0,0,0,32,32,1,1,1
791,1,3,224,224,512,7,7,32,32,0,0,0,0,32,32,1,1,1
792,1,3,224,224,40,112,112,3,3,1,1,1,1,2,2,1,1,1
793,1,3,224,224,56,112,112,3,3,1,1,1,1,2,2,1,1,1
794,1,16,112,112,128,56,56,3,3,1,1,1,1,2,2,1,1,1
795,1,32,56,56,128,56,56,3,3,1,1,1,1,1,1,1,1,1
796,1,32,112,112,256,56,56,3,3,1,1,1,1,2,2,1,1,1
797,1,64,56,56,512,28,28,3,3,1,1,1,1,2,2,1,1,1
798,1,96,28,28,384,28,28,3,3,1,1,1,1,1,1,1,1,1
799,1,96,28,28,768,14,14,3,3,1,1,1,1,2,2,1,1,1
800,1,3,224,224,64,112,112,5,5,2,2,2,2,2,2,1,1,1
801,1,80,28,28,320,28,28,3,3,1,1,1,1,1,1,1,1,1
802,1,80,28,28,640,14,14,3,3,1,1,1,1,2,2,1,1,1
803,1,48,56,56,384,28,28,3,3,1,1,1,1,2,2,1,1,1
804,1,64,28,28,256,28,28,3,3,1,1,1,1,1,1,1,1,1
805,1,64,28,28,512,14,14,3,3,1,1,1,1,2,2,1,1,1
806,1,48,28,28,384,14,14,3,3,1,1,1,1,2,2,1,1,1
807,1,3,448,448,24,224,224,3,3,1,1,1,1,2,2,1,1,1
808,1,24,224,224,96,224,224,3,3,1,1,1,1,1,1,1,1,1
809,1,32,128,128,128,128,128,3,3,1,1,1,1,1,1,1,1,1
810,1,32,112,112,128,112,112,3,3,1,1,1,1,1,1,1,1,1
811,1,3,384,384,24,192,192,3,3,1,1,1,1,2,2,1,1,1
812,1,24,192,192,96,96,96,3,3,1,1,1,1,2,2,1,1,1
813,1,32,56,56,96,28,28,3,3,1,1,1,1,2,2,1,1,1
814,1,16,56,56,48,28,28,3,3,1,1,1,1,2,2,1,1,1
815,1,24,128,128,96,64,64,3,3,1,1,1,1,2,2,1,1,1
816,1,192,32,32,96,32,32,3,3,1,1,1,1,1,1,1,1,1
817,1,256,16,16,128,16,16,3,3,1,1,1,1,1,1,1,1,1
818,1,160,8,8,160,8,8,3,3,1,1,1,1,1,1,1,1,1
