conv_parameters,occurences,models
1 256 64 64 128 64 64 1 1 0 0 0 0 1 1 1 1 1 False False,45,botnet26t_256 gcresnext26ts mobilevitv2_100 resnet61q ecaresnet26t resnet51q resnest101e bat_resnext26ts resnetrs152 resnet50_mlp seresnet269d seresnet152d resnext26ts resnetrs200 lambda_resnet26rpt_256 resnet26t eca_resnet33ts lambda_resnet26t gcresnet33ts cspresnet50 resnet200d resnet101d resnetrs270 seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 lambda_resnet50ts halonet26t resnet152d seresnet200d sehalonet33ts resnet32ts eca_halonext26ts halonet50ts resnet33ts seresnet33ts ecaresnet200d botnet50ts_256 gcresnext50ts sebotnet33ts_256
1 128 64 64 128 32 32 3 3 1 1 1 1 2 2 1 1 4 False False,8,seresnext26ts gcresnext26ts eca_resnext26ts resnext26ts resnet61q bat_resnext26ts resnet51q gcresnext50ts
1 128 32 32 32 32 32 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 32 32 32 2 32 32 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 32 32 32 32 32 32 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 32 32 32 128 32 32 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 128 32 32 512 32 32 1 1 0 0 0 0 1 1 1 1 1 False False,310,botnet26t_256 gcresnext26ts maxvit_rmlp_tiny_rw_256 resnet61q ecaresnet26t resnet51q resnest101e bat_resnext26ts resnetrs152 regnetz_d8_evos resnet50_mlp maxvit_tiny_pm_256 seresnet269d seresnet152d resnext26ts resnetrs200 lambda_resnet26rpt_256 resnet26t eca_resnet33ts regnetz_d32 lambda_resnet26t gcresnet33ts cspresnet50 resnet200d resnet101d resnetrs270 seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 maxvit_nano_rw_256 lambda_resnet50ts halonet26t resnet152d regnetz_d8 seresnet200d sehalonet33ts maxvit_tiny_rw_256 resnet32ts eca_halonext26ts halonet50ts maxvit_rmlp_nano_rw_256 resnet33ts seresnet33ts ecaresnet200d botnet50ts_256 gcresnext50ts sebotnet33ts_256
1 256 64 64 512 32 32 1 1 0 0 0 0 2 2 1 1 1 False False,27,botnet26t_256 gcresnext26ts resnet61q resnet51q bat_resnext26ts resnext26ts lambda_resnet26rpt_256 eca_resnet33ts lambda_resnet26t gcresnet33ts seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t halo2botnet50ts_256 lambda_resnet50ts halonet26t sehalonet33ts resnet32ts eca_halonext26ts halonet50ts resnet33ts seresnet33ts botnet50ts_256 gcresnext50ts sebotnet33ts_256
1 512 32 32 128 32 32 1 1 0 0 0 0 1 1 1 1 1 False False,258,botnet26t_256 gcresnext26ts maxvit_rmlp_tiny_rw_256 resnet61q ecaresnet26t resnet51q resnest101e bat_resnext26ts resnetrs152 regnetz_d8_evos resnet50_mlp maxvit_tiny_pm_256 seresnet269d seresnet152d resnext26ts resnetrs200 lambda_resnet26rpt_256 resnet26t eca_resnet33ts regnetz_d32 lambda_resnet26t gcresnet33ts resnet200d resnet101d resnetrs270 seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t ecaresnet50t halo2botnet50ts_256 maxvit_nano_rw_256 lambda_resnet50ts halonet26t resnet152d regnetz_d8 seresnet200d sehalonet33ts maxvit_tiny_rw_256 resnet32ts eca_halonext26ts halonet50ts maxvit_rmlp_nano_rw_256 resnet33ts seresnet33ts ecaresnet200d botnet50ts_256 gcresnext50ts sebotnet33ts_256
1 128 32 32 128 32 32 3 3 1 1 1 1 1 1 1 1 4 False False,18,seresnext26ts gcresnext26ts eca_resnext26ts resnext26ts resnet61q bat_resnext26ts resnet51q gcresnext50ts
1 512 32 32 256 32 32 1 1 0 0 0 0 1 1 1 1 1 False False,38,botnet26t_256 gcresnext26ts mobilevitv2_200 ecaresnet26t resnest101e bat_resnext26ts resnetrs152 resnet50_mlp seresnet269d seresnet152d resnext26ts resnetrs200 lambda_resnet26rpt_256 resnet26t lambda_resnet26t cspresnet50 resnet200d resnet101d resnetrs270 seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 lambda_resnet50ts halonet26t resnet152d seresnet200d sehalonet33ts eca_halonext26ts halonet50ts ecaresnet200d botnet50ts_256 gcresnext50ts sebotnet33ts_256
1 256 32 32 256 16 16 3 3 1 1 1 1 2 2 1 1 8 False False,6,seresnext26ts gcresnext26ts resnext26ts eca_resnext26ts bat_resnext26ts gcresnext50ts
1 256 16 16 64 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 64 16 16 2 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 64 16 16 64 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 64 16 16 256 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 256 16 16 1024 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,549,botnet26t_256 gcresnext26ts maxvit_rmlp_tiny_rw_256 ecaresnet26t resnest101e bat_resnext26ts resnetrs152 regnetz_d8_evos resnet50_mlp maxvit_tiny_pm_256 seresnet269d seresnet152d resnext26ts resnetrs200 lambda_resnet26rpt_256 resnet26t regnetz_d32 lambda_resnet26t cspresnet50 resnet200d resnet101d resnetrs270 seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 maxvit_nano_rw_256 lambda_resnet50ts halonet26t resnet152d regnetz_d8 seresnet200d sehalonet33ts maxvit_tiny_rw_256 eca_halonext26ts halonet50ts maxvit_rmlp_nano_rw_256 ecaresnet200d botnet50ts_256 gcresnext50ts sebotnet33ts_256
1 512 32 32 1024 16 16 1 1 0 0 0 0 2 2 1 1 1 False False,20,botnet26t_256 gcresnext26ts bat_resnext26ts resnext26ts lambda_resnet26rpt_256 lambda_resnet26t seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t halo2botnet50ts_256 lambda_resnet50ts halonet26t sehalonet33ts eca_halonext26ts halonet50ts botnet50ts_256 gcresnext50ts sebotnet33ts_256
1 1024 16 16 256 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,504,botnet26t_256 gcresnext26ts maxvit_rmlp_tiny_rw_256 ecaresnet26t resnest101e bat_resnext26ts resnetrs152 regnetz_d8_evos resnet50_mlp maxvit_tiny_pm_256 seresnet269d seresnet152d resnext26ts resnetrs200 lambda_resnet26rpt_256 resnet26t regnetz_d32 lambda_resnet26t resnet200d resnet101d resnetrs270 seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t ecaresnet50t halo2botnet50ts_256 maxvit_nano_rw_256 lambda_resnet50ts halonet26t resnet152d regnetz_d8 seresnet200d sehalonet33ts maxvit_tiny_rw_256 eca_halonext26ts halonet50ts maxvit_rmlp_nano_rw_256 ecaresnet200d botnet50ts_256 gcresnext50ts sebotnet33ts_256
1 256 16 16 256 16 16 3 3 1 1 1 1 1 1 1 1 8 False False,10,seresnext26ts gcresnext26ts resnext26ts eca_resnext26ts bat_resnext26ts gcresnext50ts
