conv_parameters,occurences,models
1 512 16 16 256 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,51,regnetz_d8 maxvit_tiny_pm_256 maxvit_rmlp_tiny_rw_256 maxvit_tiny_rw_256 darknetaa53 darknet17 cs3sedarknet_xdw maxvit_rmlp_nano_rw_256 cspresnet50d regnetz_d32 darknet21 maxvit_nano_rw_256 sedarknet21 darknet53 cspresnet50 regnetz_d8_evos
1 256 16 16 256 16 16 3 3 1 1 1 1 1 1 1 1 256 False False,90,fastvit_mci1 fastvit_sa36 fastvit_sa24 fastvit_mci0 fastvit_s12 cs3sedarknet_xdw fastvit_t12 fastvit_sa12
1 256 1 1 16 1 1 1 1 0 0 0 0 1 1 1 1 1 False True,152,legacy_seresnet34 maxvit_rmlp_tiny_rw_256 seresnextaa201d_32x8d seresnext26d_32x4d seresnext101_64x4d seresnet18 seresnet50t seresnetaa50d senet154 tf_efficientnetv2_s seresnet34 nf_seresnet101 seresnet101 maxvit_tiny_pm_256 seresnet269d seresnet152d seresnet50 maxvit_tiny_rw_224 efficientnetv2_s sedarknet21 efficientnet_h_b5 legacy_seresnext101_32x4d legacy_senet154 seresnext26ts legacy_seresnext26_32x4d seresnext101_32x8d efficientnetv2_rw_s legacy_seresnext50_32x4d maxvit_rmlp_base_rw_384 maxvit_rmlp_small_rw_224 maxvit_tiny_tf_224 legacy_seresnet152 maxvit_nano_rw_256 maxvit_rmlp_small_rw_256 seresnext101_32x4d maxvit_rmlp_base_rw_224 nf_seresnet26 maxvit_rmlp_pico_rw_256 legacy_seresnet18 seresnet200d seresnext50_32x4d sehalonet33ts maxvit_tiny_rw_256 maxvit_tiny_tf_512 cs3sedarknet_xdw maxvit_rmlp_nano_rw_256 seresnext26t_32x4d seresnextaa101d_32x8d maxvit_pico_rw_256 nf_seresnet50 seresnext101d_32x8d legacy_seresnet50 legacy_seresnet101 maxvit_tiny_tf_384 seresnet152 sebotnet33ts_256
1 16 1 1 256 1 1 1 1 0 0 0 0 1 1 1 1 1 False True,152,legacy_seresnet34 maxvit_rmlp_tiny_rw_256 seresnextaa201d_32x8d seresnext26d_32x4d seresnext101_64x4d seresnet18 seresnet50t seresnetaa50d senet154 tf_efficientnetv2_s seresnet34 nf_seresnet101 seresnet101 maxvit_tiny_pm_256 seresnet269d seresnet152d seresnet50 maxvit_tiny_rw_224 efficientnetv2_s sedarknet21 efficientnet_h_b5 legacy_seresnext101_32x4d legacy_senet154 seresnext26ts legacy_seresnext26_32x4d seresnext101_32x8d efficientnetv2_rw_s legacy_seresnext50_32x4d maxvit_rmlp_base_rw_384 maxvit_rmlp_small_rw_224 maxvit_tiny_tf_224 legacy_seresnet152 maxvit_nano_rw_256 maxvit_rmlp_small_rw_256 seresnext101_32x4d maxvit_rmlp_base_rw_224 nf_seresnet26 maxvit_rmlp_pico_rw_256 legacy_seresnet18 seresnet200d seresnext50_32x4d sehalonet33ts maxvit_tiny_rw_256 maxvit_tiny_tf_512 cs3sedarknet_xdw maxvit_rmlp_nano_rw_256 seresnext26t_32x4d seresnextaa101d_32x8d maxvit_pico_rw_256 nf_seresnet50 seresnext101d_32x8d legacy_seresnet50 legacy_seresnet101 maxvit_tiny_tf_384 seresnet152 sebotnet33ts_256
1 1024 16 16 1024 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,3,cspresnext50 cs3sedarknet_xdw cspresnet50w
1 1024 16 16 1024 8 8 3 3 1 1 1 1 2 2 1 1 512 False False,1,cs3sedarknet_xdw
1 1024 8 8 2048 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,18,resnet50_mlp resnet101d resnet200d resnetrs270 seresnet200d seresnet269d seresnet152d resnetrs200 cspresnext50 cs3sedarknet_xdw resnet26t ecaresnet26t ecaresnet50t cspresnet50w resnest101e resnetrs152 ecaresnet200d resnet152d
1 1024 8 8 512 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,27,maxvit_tiny_pm_256 maxvit_rmlp_tiny_rw_256 maxvit_tiny_rw_256 darknetaa53 darknet17 cs3sedarknet_xdw maxvit_rmlp_nano_rw_256 cspresnet50d mobilevitv2_200 darknet21 maxvit_nano_rw_256 sedarknet21 darknet53 cspresnet50
1 512 8 8 512 8 8 3 3 1 1 1 1 1 1 1 1 512 False False,9,mobilevitv2_100 fastvit_s12 cs3sedarknet_xdw fastvit_t12
1 2048 8 8 2048 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,3,cspresnext50 cs3sedarknet_xdw cspresnet50w
1 3 256 256 32 256 256 3 3 1 1 1 1 1 1 1 1 1 False False,6,cspdarknet53 darknet17 darknet21 sedarknet21 darknet53 darknetaa53
1 32 256 256 64 128 128 3 3 1 1 1 1 2 2 1 1 1 False False,5,cspdarknet53 darknet17 darknet21 sedarknet21 darknet53
1 64 128 128 128 128 128 1 1 0 0 0 0 1 1 1 1 1 False False,3,cspdarknet53 mobilevitv2_200 mobilevitv2_100
1 64 128 128 32 128 128 1 1 0 0 0 0 1 1 1 1 1 False False,8,cspdarknet53 mobilevit_s mobilevit_xs darknet17 darknet21 sedarknet21 darknet53 darknetaa53
1 64 128 128 64 128 128 1 1 0 0 0 0 1 1 1 1 1 False False,2,cspdarknet53 mobilevitv2_100
1 128 128 128 64 128 128 1 1 0 0 0 0 1 1 1 1 1 False False,1,cspdarknet53
1 64 128 128 128 64 64 3 3 1 1 1 1 2 2 1 1 1 False False,7,cspdarknet53 resnet61q darknet17 resnet51q darknet21 sedarknet21 darknet53
1 128 64 64 256 32 32 3 3 1 1 1 1 2 2 1 1 1 False False,5,cspdarknet53 darknet17 darknet21 sedarknet21 darknet53
1 256 32 32 512 16 16 3 3 1 1 1 1 2 2 1 1 1 False False,5,cspdarknet53 darknet17 darknet21 sedarknet21 darknet53
1 512 16 16 1024 8 8 3 3 1 1 1 1 2 2 1 1 1 False False,5,cspdarknet53 darknet17 darknet21 sedarknet21 darknet53
1 3 256 256 64 128 128 7 7 3 3 3 3 2 2 1 1 1 False False,3,halonet_h1 cspresnext50 cspresnet50
1 2048 8 8 1024 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,2,cspresnet50 cspresnet50d
1 32 128 128 32 128 128 3 3 1 1 1 1 1 1 1 1 1 False False,13,resnet50_mlp resnet101d resnet200d resnetrs270 seresnet200d seresnet269d seresnet152d resnetrs200 cspresnet50w cspresnet50d resnetrs152 ecaresnet200d resnet152d
1 128 64 64 32 64 64 1 1 0 0 0 0 1 1 1 1 1 False False,7,maxvit_pico_rw_256 maxvit_rmlp_pico_rw_256 cspresnet50w
1 32 64 64 128 64 64 1 1 0 0 0 0 1 1 1 1 1 False False,7,maxvit_pico_rw_256 maxvit_rmlp_pico_rw_256 cspresnet50w
1 256 32 32 64 32 32 1 1 0 0 0 0 1 1 1 1 1 False False,5,maxvit_pico_rw_256 maxvit_rmlp_pico_rw_256 cspresnet50w
1 64 32 32 256 32 32 1 1 0 0 0 0 1 1 1 1 1 False False,8,mobilevit_xs maxvit_pico_rw_256 maxvit_rmlp_pico_rw_256 cspresnet50w
1 512 32 32 512 16 16 3 3 1 1 1 1 2 2 1 1 1 False False,1,cspresnet50w
1 512 16 16 128 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,13,maxvit_pico_rw_256 maxvit_rmlp_pico_rw_256 cspresnet50w
1 128 16 16 512 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,16,mobilevit_s maxvit_pico_rw_256 maxvit_rmlp_pico_rw_256 cspresnet50w
1 1024 16 16 1024 8 8 3 3 1 1 1 1 2 2 1 1 1 False False,1,cspresnet50w
1 1024 8 8 256 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,28,mobilenetv4_hybrid_medium cspresnet50w maxvit_pico_rw_256 mobilenetv4_conv_aa_medium mobilenetv4_conv_medium maxvit_rmlp_pico_rw_256
1 256 8 8 1024 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,28,mobilenetv4_hybrid_medium cspresnet50w maxvit_pico_rw_256 mobilenetv4_conv_aa_medium mobilenetv4_conv_medium maxvit_rmlp_pico_rw_256
1 128 64 64 128 64 64 3 3 1 1 1 1 1 1 1 1 32 False False,3,cspresnext50
1 256 64 64 256 32 32 3 3 1 1 1 1 2 2 1 1 32 False False,3,regnetz_d8 cspresnext50 regnetz_d8_evos
1 256 32 32 256 32 32 3 3 1 1 1 1 1 1 1 1 32 False False,3,cspresnext50
1 512 32 32 512 16 16 3 3 1 1 1 1 2 2 1 1 32 False False,1,cspresnext50
1 512 16 16 512 16 16 3 3 1 1 1 1 1 1 1 1 32 False False,5,cspresnext50
1 1024 16 16 1024 8 8 3 3 1 1 1 1 2 2 1 1 32 False False,2,regnetz_d32 cspresnext50
1 1024 8 8 1024 8 8 3 3 1 1 1 1 1 1 1 1 32 False False,2,cspresnext50
1 64 64 64 128 64 64 3 3 1 1 1 1 1 1 1 1 1 False False,7,darknet17 darknet21 sedarknet21 darknet53 darknetaa53
1 128 32 32 256 32 32 3 3 1 1 1 1 1 1 1 1 1 False False,19,darknet17 darknet21 sedarknet21 darknet53 darknetaa53
1 256 16 16 512 16 16 3 3 1 1 1 1 1 1 1 1 1 False False,21,darknet17 darknet21 sedarknet21 darknet53 darknetaa53
1 512 8 8 1024 8 8 3 3 1 1 1 1 1 1 1 1 1 False False,13,darknet17 darknet21 sedarknet21 darknet53 darknetaa53
1 32 128 128 64 128 128 1 1 0 0 0 0 1 1 1 1 1 False False,3,mobilevitv2_100 mobilevitv2_050 darknetaa53
1 3 224 224 128 56 56 7 7 3 3 3 3 4 4 1 1 1 False True,1,davit_base
1 512 14 14 512 14 14 3 3 1 1 1 1 1 1 1 1 512 False True,88,davit_base twins_svt_large xcit_medium_24_p16_224 efficientvit_b1
1 1024 7 7 1024 7 7 3 3 1 1 1 1 1 1 1 1 1024 False True,39,davit_base efficientformerv2_s2 twins_svt_large efficientvit_b1 pvt_v2_b0 efficientformerv2_s1 efficientformerv2_l efficientformerv2_s0
1 3 768 768 128 192 192 7 7 3 3 3 3 4 4 1 1 1 False True,1,davit_base_fl
1 128 192 192 128 192 192 3 3 1 1 1 1 1 1 1 1 128 False True,4,davit_base_fl
1 128 192 192 256 96 96 3 3 1 1 1 1 2 2 1 1 1 False True,1,davit_base_fl
1 256 96 96 256 96 96 3 3 1 1 1 1 1 1 1 1 256 False True,4,davit_base_fl
1 256 96 96 512 48 48 3 3 1 1 1 1 2 2 1 1 1 False True,3,focalnet_xlarge_fl3 davit_base_fl focalnet_xlarge_fl4
1 512 48 48 512 48 48 3 3 1 1 1 1 1 1 1 1 512 False True,84,davit_base_fl xcit_medium_24_p8_384
1 512 48 48 1024 24 24 3 3 1 1 1 1 2 2 1 1 1 False True,3,focalnet_xlarge_fl3 davit_base_fl focalnet_xlarge_fl4
1 1024 24 24 1024 24 24 3 3 1 1 1 1 1 1 1 1 1024 False True,4,davit_base_fl
1 3 224 224 384 56 56 7 7 3 3 3 3 4 4 1 1 1 False True,1,davit_giant
1 384 56 56 384 56 56 3 3 1 1 1 1 1 1 1 1 384 False True,4,davit_giant
1 384 56 56 768 28 28 2 2 0 0 0 0 2 2 1 1 1 False True,3,volo_d4_448 volo_d5_448 davit_giant
1 768 28 28 768 28 28 3 3 1 1 1 1 1 1 1 1 768 False True,52,xcit_large_24_p8_224 davit_giant
1 768 28 28 1536 14 14 2 2 0 0 0 0 2 2 1 1 1 False True,1,davit_giant
1 1536 14 14 1536 14 14 3 3 1 1 1 1 1 1 1 1 1536 False True,48,davit_giant
1 1536 14 14 3072 7 7 2 2 0 0 0 0 2 2 1 1 1 False True,1,davit_giant
1 3072 7 7 3072 7 7 3 3 1 1 1 1 1 1 1 1 3072 False True,26,efficientvit_l1 davit_giant efficientvit_l2
1 3 224 224 256 56 56 7 7 3 3 3 3 4 4 1 1 1 False True,2,hiera_huge_224 davit_huge
1 256 56 56 256 56 56 3 3 1 1 1 1 1 1 1 1 256 False True,10,pvt_v2_b5 vitamin_small_224 pvt_v2_b0 davit_huge
1 512 28 28 512 28 28 3 3 1 1 1 1 1 1 1 1 512 False True,63,xcit_medium_24_p8_224 vitamin_small_224 pvt_v2_b0 pvt_v2_b5 davit_huge
1 1024 14 14 1024 14 14 3 3 1 1 1 1 1 1 1 1 1024 False True,56,efficientvit_l1 efficientvit_b3 davit_huge efficientvit_l2
1 2048 7 7 2048 7 7 3 3 1 1 1 1 1 1 1 1 2048 False True,30,pvt_v2_b2 pvt_v2_b1 efficientvit_b3 pvt_v2_b4 pvt_v2_b5 pvt_v2_b3 pvt_v2_b2_li davit_huge
1 3 768 768 256 192 192 7 7 3 3 3 3 4 4 1 1 1 False True,1,davit_huge_fl
1 256 192 192 256 192 192 3 3 1 1 1 1 1 1 1 1 256 False True,4,davit_huge_fl
1 256 192 192 512 96 96 3 3 1 1 1 1 2 2 1 1 1 False True,1,davit_huge_fl
1 512 96 96 512 96 96 3 3 1 1 1 1 1 1 1 1 512 False True,4,davit_huge_fl
1 512 96 96 1024 48 48 3 3 1 1 1 1 2 2 1 1 1 False True,1,davit_huge_fl
1 1024 48 48 1024 48 48 3 3 1 1 1 1 1 1 1 1 1024 False True,36,davit_huge_fl
1 1024 48 48 2048 24 24 3 3 1 1 1 1 2 2 1 1 1 False True,1,davit_huge_fl
1 2048 24 24 2048 24 24 3 3 1 1 1 1 1 1 1 1 2048 False True,4,davit_huge_fl
1 3 224 224 192 56 56 7 7 3 3 3 3 4 4 1 1 1 False True,2,davit_large mvitv2_huge_cls
1 192 56 56 192 56 56 3 3 1 1 1 1 1 1 1 1 192 False True,4,davit_large
1 384 28 28 384 28 28 3 3 1 1 1 1 1 1 1 1 384 False True,76,davit_large xcit_small_12_p8_224 xcit_small_24_p8_224
1 768 14 14 768 14 14 3 3 1 1 1 1 1 1 1 1 768 False True,96,davit_large efficientformerv2_l efficientvit_b2 xcit_large_24_p16_224
1 1536 7 7 1536 7 7 3 3 1 1 1 1 1 1 1 1 1536 False True,16,davit_large efficientformerv2_l efficientvit_b2
1 96 56 56 96 56 56 3 3 1 1 1 1 1 1 1 1 96 False True,9,davit_tiny davit_small twins_svt_base
1 192 28 28 192 28 28 3 3 1 1 1 1 1 1 1 1 192 False True,86,davit_tiny twins_svt_base xcit_tiny_24_p8_224 efficientformerv2_s1 efficientformerv2_s0 davit_small xcit_tiny_12_p8_224
1 384 14 14 384 14 14 3 3 1 1 1 1 1 1 1 1 384 False True,124,xcit_small_24_p16_224 davit_tiny twins_svt_base efficientformerv2_s0 xcit_small_12_p16_224 davit_small
1 768 7 7 768 7 7 3 3 1 1 1 1 1 1 1 1 768 False True,9,davit_tiny davit_small twins_svt_base
1 3 224 224 1280 16 16 14 14 0 0 0 0 14 14 1 1 1 False True,3,vit_huge_patch14_224 vit_huge_patch14_gap_224 deit3_huge_patch14_224
1 3 224 224 512 14 14 16 16 0 0 0 0 16 16 1 1 1 False True,7,deit3_medium_patch16_224 vit_relpos_medium_patch16_224 vit_srelpos_medium_patch16_224 mixer_s16_224 vit_relpos_medium_patch16_cls_224 vit_relpos_medium_patch16_rpn_224 gmlp_b16_224
1 3 224 224 64 112 112 7 7 3 3 3 3 2 2 1 1 1 False False,63,volo_d1_224 resnetv2_152 legacy_seresnet34 resnetblur50 wide_resnet101_2 resnext101_32x32d skresnet50 seresnext101_64x4d resnet101 seresnet18 resnetblur18 densenet169 resnetaa50 res2net101_26w_4s resnet50 resnetv2_34 resnetv2_50x1_bit resnext101_64x4d seresnet34 seresnet101 resnet200 skresnet34 volo_d2_224 seresnet50 wide_resnet50_2 skresnext50_32x4d resnetv2_50 densenet201 resnet152 resnetv2_18 skresnet18 volo_d3_224 res2next50 ecaresnetlight resnext101_32x16d volo_d4_224 resnext101_32x4d legacy_seresnext101_32x4d resnext50_32x4d legacy_seresnext26_32x4d seresnext101_32x8d legacy_seresnext50_32x4d res2net50_26w_6s dpn92 res2net50_26w_8s resnext101_32x8d legacy_seresnet152 mobilenet_edgetpu_v2_l res2net50_26w_4s res2net50_14w_8s resnet50_gn resnetv2_101 resnet18 seresnext101_32x4d res2net50_48w_2s legacy_seresnet18 seresnext50_32x4d resnet26 resnet34 densenet121 legacy_seresnet50 legacy_seresnet101 seresnet152
1 128 56 56 32 56 56 3 3 1 1 1 1 1 1 1 1 1 False False,24,densenetblur121d densenet201 densenet169 densenet121
1 96 56 56 128 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 128 56 56 128 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,43,dla60 gcvit_base regnety_040_sgn senet154 densenet169 repvgg_b1 dpn68b regnety_040 mobilenetv1_100 dla60_res2next densenet201 ese_vovnet19b_dw repvgg_b1g4 legacy_senet154 dla102x dla102 resnetv2_152x2_bit dpn48b dla169 mobilenetv1_100h dpn68 densenetblur121d regnetv_040 densenet121 mobileone_s3 dla60x
1 160 56 56 128 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 192 56 56 128 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,8,densenetblur121d densenet121 densenet201 selecsls60 selecsls60b densenet169 selecsls42 selecsls42b
1 224 56 56 128 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 128 28 28 128 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,66,regnety_008 tiny_vit_5m_224 densenetblur121d regnetx_008 gcvit_xxtiny densenet121 gcvit_base gcvit_tiny densenet201 repvgg_b0 selecsls60 tiny_vit_11m_224 mobileone_s0 selecsls60b lcnet_100 densenet169 gcvit_xtiny repvgg_a1
1 128 28 28 32 28 28 3 3 1 1 1 1 1 1 1 1 1 False False,48,densenetblur121d densenet201 densenet169 densenet121
1 160 28 28 128 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,5,hgnetv2_b0 densenetblur121d densenet121 densenet201 densenet169
1 192 28 28 128 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 224 28 28 128 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 288 28 28 128 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 320 28 28 128 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 352 28 28 128 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 384 28 28 128 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,8,densenetblur121d densenet121 efficientnet_b5 densenet201 selecsls60 selecsls60b densenet169 efficientnet_x_b5
1 416 28 28 128 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 448 28 28 128 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,5,densenetblur121d densenet121 densenet201 densenet169 dla34
1 480 28 28 128 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 256 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,38,dla60x_c dla46x_c efficientvit_m4 densenetblur121d levit_conv_128 densenet121 levit_conv_128s efficientvit_m1 densenet201 dla46_c efficientvit_b1 efficientvit_m3 densenet169 hrnet_w64 efficientvit_m2
1 128 14 14 32 14 14 3 3 1 1 1 1 1 1 1 1 1 False False,128,densenetblur121d densenet201 densenet169 densenet121
1 288 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 320 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 352 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 384 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,25,dla60x_c nextvit_base nextvit_large densenetblur121d densenet121 hgnetv2_b2 mixnet_xl densenet201 nextvit_small fbnetv3_d densenet169
1 416 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 448 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,6,dla46x_c densenetblur121d densenet121 densenet201 dla46_c densenet169
1 480 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 512 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,12,mobilenet_edgetpu_v2_s densenetblur121d densenet121 densenet201 efficientvit_b1 hgnetv2_b3 densenet169
1 544 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 576 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,5,dla60x_c densenetblur121d densenet121 densenet201 densenet169
1 608 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 640 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 672 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,5,densenetblur121d rexnetr_150 densenet121 densenet201 densenet169
1 704 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 736 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 768 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,22,efficientnetv2_rw_t gc_efficientnetv2_rw_t densenetblur121d densenet121 hgnetv2_b2 densenet201 densenet169
1 800 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 832 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 864 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 896 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 928 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 960 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 992 14 14 128 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 512 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,12,hgnetv2_b0 efficientvit_b0 densenetblur121d densenet121 mobilenetv4_conv_small hrnet_w64
1 128 7 7 32 7 7 3 3 1 1 1 1 1 1 1 1 1 False False,96,densenetblur121d densenet201 densenet169 densenet121
1 544 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenetblur121d densenet121
1 576 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,3,densenetblur121d mobilenetv4_conv_small densenet121
1 608 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenetblur121d densenet121
1 640 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,3,densenetblur121d densenet169 densenet121
1 672 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,3,densenetblur121d densenet169 densenet121
1 704 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,3,densenetblur121d densenet169 densenet121
1 736 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,3,densenetblur121d densenet169 densenet121
1 768 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,3,densenetblur121d densenet169 densenet121
1 800 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,3,densenetblur121d densenet169 densenet121
1 832 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,3,densenetblur121d densenet169 densenet121
1 864 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,3,densenetblur121d densenet169 densenet121
1 896 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 928 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 960 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 992 7 7 128 7 7 1 1 0 0 0 0 1 1 1 1 1 False False,4,densenetblur121d densenet201 densenet169 densenet121
1 3 224 224 96 112 112 7 7 3 3 3 3 2 2 1 1 1 False False,2,densenet161 dpn98
1 192 56 56 48 56 56 3 3 1 1 1 1 1 1 1 1 1 False False,12,densenet161 densenet264d
1 144 56 56 192 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 192 56 56 192 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,7,mobileone_s4 densenet264d densenet161 repvgg_b3 repvgg_b3g4
1 240 56 56 192 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 288 56 56 192 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 336 56 56 192 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,3,densenet161 dpn92 densenet264d
1 384 56 56 192 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 192 28 28 192 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,69,nextvit_base lcnet_150 mobileone_s1 densenet264d nextvit_large regnety_040 repvgg_a2 regnetv_040 gcvit_small regnetx_032 densenet161 regnety_040_sgn nextvit_small tiny_vit_21m_224
1 192 28 28 48 28 28 3 3 1 1 1 1 1 1 1 1 1 False False,24,densenet161 densenet264d
1 240 28 28 192 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 288 28 28 192 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 336 28 28 192 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 432 28 28 192 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 480 28 28 192 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 528 28 28 192 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 576 28 28 192 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 624 28 28 192 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 672 28 28 192 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,3,densenet161 dpn92 densenet264d
1 720 28 28 192 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 384 14 14 192 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,46,efficientvit_b2 densenet264d levit_conv_192 repvit_m1 densenet161 efficientvit_m5 repvit_m0_9
1 192 14 14 48 14 14 3 3 1 1 1 1 1 1 1 1 1 False False,100,densenet161 densenet264d
1 432 14 14 192 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 480 14 14 192 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
1 528 14 14 192 14 14 1 1 0 0 0 0 1 1 1 1 1 False False,2,densenet161 densenet264d
