conv_parameters,occurrences
1 32 112 112 64 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 64 56 56 64 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 224 7 7 224 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 320 14 14 320 2 2 0 0 0 0 2 2 1 1 1 0 1,1
1 384 14 14 384 3 3 1 1 1 1 1 1 1 1 384 0 1,1
1 960 33 33 256 3 3 12 12 12 12 1 1 12 12 1 0 0,1
